换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
1.05%,27.41亿,2.58%,12.49万手,16.33万手,1.53,6742.00万,76.79亿,-22.67%,"
                        2.10",2.33,通裕重工,2.31,1.53,2.37,2.32,32.68亿,64.42亿,2.56,40.93,28.83万手,0.04,0.15
1.02%,3.01亿,1.02%,1.37万手,1.70万手,6.32,3613.10万,77.40亿,-40.57%,"
                        10.56",11.73,力源信息,11.69,1.86,11.81,11.70,6.58亿,35.45亿,12.90,21.70,3.07万手,0.41,0.20
2.86%,2.64亿,3.18%,4.84万手,2.70万手,5.73,1.44亿,89.12亿,45.76%,"
                        17.57",19.52,东软载波,18.89,3.30,19.51,19.37,4.70亿,49.93亿,21.47,36.00,7.54万手,0.41,1.32
1.27%,13.91亿,3.61%,7.73万手,9.98万手,3.71,1.60亿,232.26亿,-26.65%,"
                        7.97",8.86,捷成股份,8.82,2.43,9.14,8.82,25.75亿,125.44亿,9.75,22.59,17.72万手,0.30,3.08
9.35%,3.54亿,6.04%,16.86万手,16.21万手,2.24,2.51亿,46.68亿,-72.53%,"
                        6.86",7.62,佐力药业,7.35,3.43,7.81,7.55,6.09亿,27.14亿,8.38,68.67,33.07万手,0.08,3.04
0.30%,3.80亿,1.81%,4978手,6548手,7.62,2841.69万,156.11亿,-25.54%,"
                        22.38",24.87,华峰超纤,24.53,3.24,24.98,24.98,6.31亿,94.00亿,27.36,59.88,1.15万手,0.31,0.12
0.55%,3.25亿,1.59%,1.16万手,6400手,1.69,1127.73万,29.98亿,-13.83%,"
                        5.65",6.28,四方达,6.23,3.71,6.33,6.33,4.77亿,20.39亿,6.91,34.66,1.80万手,0.14,0.19
0.79%,5.32亿,4.18%,1.95万手,2.24万手,4.18,5795.22万,85.26亿,-27.49%,"
                        12.05",13.39,腾邦国际,13.47,3.30,14.03,13.47,6.18亿,73.38亿,14.73,29.88,4.18万手,0.35,0.45
0.45%,3.17亿,0.66%,8260手,6146手,3.66,1529.88万,47.51亿,-14.82%,"
                        9.56",10.62,中海达,10.59,2.91,10.66,10.62,4.47亿,33.67亿,11.68,88.69,1.44万手,0.09,0.27
1.38%,1.07亿,4.61%,6713手,8081手,8.36,1.93亿,142.68亿,-4.19%,"
                        116.10",129.00,鸿特精密,127.38,15.91,133.33,130.26,1.07亿,142.28亿,141.90,38.14,1.48万手,2.62,0.28
0.86%,4.62亿,1.21%,2.37万手,1.58万手,1.66,2925.02万,34.79亿,62.41%,"
                        6.69",7.43,朗源股份,7.37,4.44,7.46,7.43,4.71亿,34.11亿,8.17,50.84,3.95万手,0.11,0.56
0.08%,2.20亿,1.53%,1071手,684手,2.28,501.70万,70.26亿,-47.07%,"
                        25.83",28.70,元力股份,28.33,12.60,28.77,28.68,2.45亿,63.19亿,31.57,157.84,1756手,0.14,0.13
--,3.27亿,--,--,--,2.85,--,46.31亿,--,"
                        7.11",7.90,智慧松德,--,2.77,--,--,5.86亿,25.83亿,8.69,65.47,--,0.09,--
0.66%,3.34亿,2.79%,9966手,1.22万手,4.73,2171.15万,61.95亿,-16.41%,"
                        8.70",9.67,东富龙,9.65,2.08,9.92,9.72,6.28亿,32.91亿,10.64,42.03,2.21万手,0.18,0.65
2.33%,6.64亿,2.57%,7.27万手,8.23万手,2.68,1.94亿,107.15亿,-33.05%,"
                        11.20",12.44,汉得信息,12.33,4.67,12.65,12.39,8.58亿,82.93亿,13.68,40.68,15.50万手,0.23,1.58
0.78%,10.09亿,1.42%,4.07万手,3.82万手,2.28,1.06亿,138.06亿,-60.66%,"
                        12.01",13.34,万达信息,13.36,5.86,13.55,13.37,10.31亿,135.05亿,14.67,93.08,7.89万手,0.11,0.69
--,3.00亿,--,--,--,2.32,--,29.69亿,--,"
                        8.90",9.89,迪威迅,--,4.27,--,--,3.00亿,29.69亿,10.88,--,--,0.00,--
1.16%,3.05亿,2.00%,1.54万手,1.98万手,3.40,2292.92万,30.15亿,35.43%,"
                        5.84",6.49,天瑞仪器,6.44,1.92,6.57,6.49,4.62亿,19.90亿,7.14,33.65,3.52万手,0.15,0.29
4.91%,3.12亿,4.71%,7.35万手,7.98万手,3.48,1.06亿,31.13亿,-36.53%,"
                        6.12",6.80,通源石油,6.69,1.99,7.01,6.80,4.49亿,21.63亿,7.48,214.08,15.33万手,0.02,1.68
0.86%,3.30亿,1.66%,1.74万手,1.11万手,1.53,1719.99万,28.58亿,9.43%,"
                        5.42",6.02,先锋新材,5.99,3.95,6.09,6.01,4.74亿,19.90亿,6.62,330.73,2.85万手,0.01,0.28
0.95%,1.65亿,0.91%,8921手,6795手,6.47,2587.28万,28.42亿,-24.21%,"
                        14.85",16.50,华中数控,16.39,2.54,16.54,16.50,1.73亿,27.21亿,18.15,354.52,1.57万手,0.03,0.38
0.39%,5.87亿,1.27%,1.28万手,1.01万手,2.24,1809.07万,47.10亿,6.74%,"
                        7.11",7.90,秀强股份,7.84,3.52,7.94,7.88,5.98亿,46.25亿,8.69,26.18,2.29万手,0.23,0.30
--,9.53亿,--,--,--,4.06,--,155.00亿,--,"
                        9.36",10.40,新研股份,--,2.56,--,--,14.90亿,99.09亿,11.44,45.29,--,0.17,--
0.87%,4.09亿,1.42%,1.64万手,1.93万手,10.57,5032.73万,73.61亿,-10.32%,"
                        12.64",14.04,振东制药,13.99,1.34,14.19,14.08,5.19亿,57.93亿,15.44,22.73,3.58万手,0.47,0.87
3.37%,6.14亿,3.50%,12.51万手,8.17万手,5.36,2.04亿,69.50亿,37.07%,"
                        8.99",9.99,恒泰艾普,9.73,1.82,10.08,9.87,7.13亿,59.82亿,10.99,66.38,20.68万手,0.11,0.90
--,7.22亿,--,--,--,3.07,--,244.02亿,--,"
                        21.74",24.16,神雾环保,--,7.87,--,--,10.10亿,174.39亿,26.58,26.84,--,0.68,--
1.96%,2.78亿,3.10%,2.94万手,2.50万手,2.09,3204.04万,32.22亿,9.70%,"
                        5.22",5.80,安居宝,5.80,2.83,5.98,5.81,5.43亿,16.47亿,6.38,404.19,5.44万手,0.01,1.55
--,7.13亿,--,--,--,1.92,--,47.97亿,--,"
                        6.06",6.73,科融环境,--,3.51,--,--,7.13亿,47.97亿,7.40,383.89,--,0.01,--
0.64%,4.43亿,1.78%,1.69万手,1.15万手,2.76,1588.69万,32.82亿,0.80%,"
                        5.06",5.62,世纪瑞尔,5.54,2.04,5.64,5.58,5.85亿,24.85亿,6.18,--,2.84万手,-0.04,0.74
--,4.05亿,--,--,--,1.90,--,64.79亿,--,"
                        13.82",15.35,量子高科,--,8.08,--,--,4.22亿,62.19亿,16.89,97.73,--,0.12,--
1.11%,7.62亿,1.82%,5.93万手,2.52万手,5.07,6911.31万,69.03亿,12.59%,"
                        7.42",8.24,天舟文化,8.12,1.61,8.27,8.24,8.45亿,62.27亿,9.06,37.18,8.45万手,0.16,1.71
0.67%,6.60亿,1.45%,2.73万手,1.68万手,5.24,3938.23万,59.00亿,21.25%,"
                        8.05",8.95,香雪制药,8.86,1.70,8.99,8.95,6.61亿,58.91亿,9.85,62.87,4.42万手,0.11,0.61
1.67%,8.72亿,1.36%,8.70万手,5.90万手,3.47,2.14亿,215.08亿,-22.13%,"
                        13.26",14.73,汤臣倍健,14.57,4.21,14.77,14.69,14.70亿,127.59亿,16.20,20.08,14.60万手,0.55,1.99
1.43%,7.40亿,2.52%,6.49万手,4.09万手,3.71,1.28亿,145.46亿,5.99%,"
                        11.06",12.29,中金环境,12.03,3.26,12.34,12.30,12.02亿,89.52亿,13.52,24.55,10.57万手,0.37,3.56
0.35%,11.52亿,1.32%,2.28万手,1.72万手,4.95,7526.54万,273.38亿,-17.44%,"
                        16.98",18.87,宋城演艺,18.70,3.80,18.95,18.93,14.53亿,216.89亿,20.76,22.34,4.00万手,0.63,0.68
--,1.38亿,--,--,--,8.07,--,73.83亿,--,"
                        23.04",25.60,星普医科,--,3.17,--,--,2.88亿,35.26亿,28.16,43.98,--,0.44,--
1.40%,13.50亿,4.15%,8.53万手,10.35万手,2.06,3.70亿,307.33亿,-51.53%,"
                        17.36",19.29,沃森生物,19.20,9.73,20.00,19.47,15.37亿,269.87亿,21.22,--,18.88万手,-0.03,1.49
2.30%,1.63亿,3.62%,1.70万手,2.04万手,2.74,4483.78万,30.75亿,-29.87%,"
                        10.70",11.89,和顺电气,11.72,4.40,12.15,11.85,2.55亿,19.59亿,13.08,171.62,3.74万手,0.05,1.80
--,2.41亿,--,--,--,3.70,--,59.75亿,--,"
                        15.58",17.31,中环装备,--,4.68,--,--,3.45亿,41.79亿,19.04,161.36,--,0.08,--
0.50%,2.66亿,1.55%,6549手,6827手,4.34,1708.02万,46.86亿,-23.85%,"
                        11.61",12.90,晨光生物,12.70,2.95,12.90,12.82,3.67亿,33.91亿,14.19,30.33,1.34万手,0.32,0.19
1.10%,7.45亿,4.21%,5.02万手,3.21万手,2.61,4.26亿,502.72亿,-82.61%,"
                        47.25",52.50,信维通信,50.78,19.57,52.99,52.50,9.83亿,381.03亿,57.75,52.74,8.23万手,0.73,0.65
--,7.12亿,--,--,--,7.13,--,126.25亿,--,"
                        14.81",16.45,大富科技,--,2.31,--,--,7.67亿,117.19亿,18.10,--,--,-0.48,--
0.78%,11.88亿,2.52%,3.90万手,5.42万手,3.75,1.05亿,198.74亿,-35.16%,"
                        9.98",11.09,华策影视,11.03,2.99,11.31,11.09,17.70亿,133.38亿,12.20,48.40,9.32万手,0.17,1.48
0.28%,2.90亿,2.35%,5121手,3021手,1.83,652.51万,30.95亿,-6.83%,"
                        7.28",8.09,青松股份,7.97,4.38,8.16,8.16,3.86亿,23.24亿,8.90,32.02,8142手,0.19,0.06
3.87%,6.28亿,7.30%,9.18万手,15.11万手,1.75,1.73亿,77.65亿,-19.47%,"
                        6.17",6.85,英唐智控,6.81,4.16,7.31,6.86,10.70亿,45.58亿,7.54,46.84,24.29万手,0.12,1.99
1.00%,1.57亿,6.08%,8869手,6789手,7.48,3818.14万,63.61亿,-70.75%,"
                        21.46",23.84,新国都,23.93,3.21,25.38,24.25,2.65亿,37.70亿,26.22,101.00,1.57万手,0.18,0.63
2.52%,4.91亿,2.30%,7.33万手,5.06万手,3.11,8963.49万,52.64亿,76.44%,"
                        6.65",7.39,泰胜风能,7.19,2.33,7.36,7.36,7.27亿,35.53亿,8.13,25.72,12.39万手,0.21,0.91
2.02%,5.34亿,3.01%,6.07万手,4.70万手,2.38,1.14亿,88.03亿,-7.53%,"
                        9.56",10.62,锦富技术,10.44,4.40,10.76,10.70,8.42亿,55.85亿,11.68,199.15,10.77万手,0.04,1.15
0.87%,2.27亿,1.15%,1.17万手,8009手,3.62,3397.83万,55.45亿,-16.61%,"
                        15.62",17.35,银河磁体,17.15,4.74,17.35,17.30,3.23亿,38.97亿,19.09,28.06,1.97万手,0.46,0.30
0.81%,2.10亿,1.45%,8967手,8175手,3.39,1189.38万,21.20亿,-0.81%,"
                        6.23",6.92,锐奇股份,6.90,2.04,7.00,6.93,3.05亿,14.60亿,7.61,859.31,1.71万手,0.01,0.30
0.34%,9029.75万,1.77%,1400手,1631手,8.77,799.39万,31.10亿,-88.75%,"
                        23.84",26.49,易世达,26.02,3.01,26.49,26.49,1.18亿,23.80亿,29.14,1654.09,3032手,0.01,0.18
0.55%,12.84亿,2.70%,3.88万手,3.21万手,3.06,2.01亿,471.23亿,-77.08%,"
                        25.97",28.86,汇川技术,28.12,9.26,28.90,28.90,16.65亿,363.43亿,31.75,48.87,7.09万手,0.43,0.80
0.80%,8.69亿,1.86%,2.90万手,4.06万手,1.74,2.09亿,480.64亿,-25.92%,"
                        26.67",29.63,智飞生物,29.69,17.22,30.24,29.88,16.00亿,261.10亿,32.59,126.38,6.96万手,0.18,2.34
0.79%,2.73亿,2.44%,1.04万手,1.13万手,2.69,3019.83万,40.03亿,24.84%,"
                        12.56",13.96,阳谷华泰,13.80,5.15,14.14,13.90,2.89亿,37.74亿,15.36,23.47,2.17万手,0.44,0.56
0.59%,1.51亿,2.23%,6415手,2497手,3.03,1121.15万,36.99亿,-81.15%,"
                        11.32",12.58,经纬电材,12.50,4.14,12.78,12.54,2.95亿,18.98亿,13.84,162.13,8913手,0.08,0.21
0.26%,2.05亿,1.43%,3437手,1827手,4.82,627.02万,48.13亿,-2.15%,"
                        10.72",11.91,瑞普生物,11.86,2.47,12.03,11.92,4.04亿,24.36亿,13.10,35.25,5265手,0.25,0.17
0.41%,4.97亿,0.81%,1.11万手,9032手,8.03,2506.19万,112.44亿,-19.36%,"
                        11.17",12.41,东方日升,12.40,1.55,12.50,12.45,9.05亿,61.72亿,13.65,19.56,2.02万手,0.48,0.27
1.19%,7.14亿,2.95%,4.83万手,3.66万手,2.07,5699.34万,47.88亿,-28.18%,"
                        6.09",6.77,嘉寓股份,6.61,3.23,6.81,6.70,7.17亿,47.71亿,7.45,49.18,8.49万手,0.10,0.97
--,12.38亿,--,--,--,3.53,--,185.36亿,--,"
                        6.86",7.62,坚瑞沃能,--,2.16,--,--,24.33亿,94.35亿,8.38,18.50,--,0.31,--
1.72%,8.95亿,2.47%,8.47万手,6.89万手,4.85,3.20亿,187.76亿,43.81%,"
                        18.94",21.04,长盈精密,20.62,4.29,21.14,20.88,9.03亿,186.17亿,23.14,26.08,15.36万手,0.59,3.75
0.29%,5.91亿,1.83%,8515手,8321手,2.41,1754.60万,61.85亿,-0.63%,"
                        9.35",10.39,中航电测,10.32,4.35,10.51,10.33,5.91亿,61.85亿,11.43,45.01,1.68万手,0.17,1.03
2.47%,4.62亿,2.65%,6.89万手,4.54万手,4.25,2.14亿,128.69亿,-49.04%,"
                        16.97",18.86,顺网科技,18.54,4.36,19.04,18.97,6.93亿,85.76亿,20.75,26.02,11.43万手,0.53,2.11
0.67%,1.60亿,2.34%,5532手,5196手,2.88,1110.80万,27.49亿,-46.31%,"
                        9.22",10.24,万讯自控,10.25,3.59,10.49,10.28,2.66亿,16.53亿,11.26,46.84,1.07万手,0.17,0.40
0.61%,9.84亿,2.24%,2.61万手,3.34万手,1.50,8821.54万,146.34亿,-37.56%,"
                        13.24",14.71,华仁药业,14.60,9.90,14.93,14.60,9.86亿,145.98亿,16.18,473.91,5.95万手,0.02,0.85
0.44%,4.23亿,1.36%,1.08万手,7918手,2.91,1778.69万,63.20亿,1.08%,"
                        8.63",9.59,吉药控股,9.46,3.26,9.59,9.52,6.66亿,40.11亿,10.55,47.12,1.87万手,0.16,0.42
8.01%,3.27亿,7.77%,13.19万手,13.04万手,1.70,1.59亿,33.30亿,-35.97%,"
                        5.33",5.92,建新股份,5.78,3.58,6.24,5.86,5.47亿,19.94亿,6.51,72.73,26.22万手,0.06,4.12
1.18%,2.10亿,1.64%,1.19万手,1.29万手,4.28,1988.28万,17.01亿,-64.14%,"
                        7.15",7.95,西部牧业,7.92,1.88,8.05,7.95,2.11亿,16.93亿,8.75,--,2.49万手,-0.38,0.75
0.91%,5.13亿,3.03%,2.24万手,2.43万手,3.74,2652.59万,29.05亿,8.50%,"
                        5.05",5.61,龙源技术,5.60,1.51,5.77,5.62,5.13亿,29.05亿,6.17,989.25,4.67万手,0.00,0.61
--,25.45亿,--,--,--,3.13,--,611.58亿,--,"
                        13.80",15.33,乐视网,--,4.90,--,--,39.89亿,390.13亿,16.86,--,--,-0.41,--
0.67%,1.68亿,2.20%,4977手,6260手,4.12,2022.96万,38.09亿,-54.91%,"
                        15.94",17.71,达刚路机,17.80,4.36,18.19,17.99,2.12亿,30.14亿,19.48,97.05,1.12万手,0.14,0.35
4.79%,6.82亿,3.12%,19.14万手,13.53万手,3.76,3.26亿,70.85亿,55.11%,"
                        9.22",10.25,乾照光电,9.88,2.63,10.20,10.16,7.16亿,67.50亿,11.28,33.56,32.67万手,0.22,2.25
1.20%,5.49亿,2.63%,4.11万手,2.46万手,1.54,8878.23万,74.62亿,50.28%,"
                        12.32",13.69,振芯科技,13.35,8.69,13.71,13.60,5.56亿,73.74亿,15.06,231.99,6.57万手,0.04,0.71
1.30%,3.86亿,1.34%,3.07万手,1.98万手,6.90,8189.83万,65.49亿,51.00%,"
                        14.81",16.46,双林股份,16.15,2.37,16.37,16.26,4.01亿,63.15亿,18.11,21.93,5.04万手,0.56,1.58
0.83%,3.70亿,1.46%,1.58万手,1.47万手,2.44,1894.77万,41.56亿,-57.31%,"
                        5.55",6.17,精准信息,6.15,2.54,6.24,6.16,6.69亿,22.99亿,6.79,133.41,3.06万手,0.04,0.26
2.34%,5.92亿,4.59%,8.06万手,5.77万手,3.67,1.93亿,160.18亿,-49.46%,"
                        12.54",13.93,高新兴,13.63,3.71,14.27,13.87,11.75亿,80.69亿,15.32,41.34,13.83万手,0.26,1.85
0.98%,1.54亿,1.18%,5916手,9288手,6.86,4374.60万,82.73亿,-39.54%,"
                        25.85",28.72,智云股份,28.63,4.18,28.97,28.79,2.89亿,44.28亿,31.59,37.53,1.52万手,0.57,0.33
1.15%,3.86亿,1.65%,2.50万手,1.93万手,1.53,4828.41万,46.91亿,-19.09%,"
                        9.84",10.93,易联众,10.83,7.14,11.01,11.01,4.30亿,42.08亿,12.02,--,4.43万手,-0.12,0.47
0.93%,2.28亿,1.73%,9487手,1.18万手,3.37,1724.97万,30.63亿,-6.19%,"
                        7.27",8.08,华伍股份,8.02,2.40,8.16,8.06,3.79亿,18.43亿,8.89,57.22,2.13万手,0.11,0.32
0.87%,2.15亿,1.97%,1.23万手,6498手,4.12,2167.43万,24.84亿,-19.11%,"
                        10.50",11.67,金刚玻璃,11.45,2.79,11.68,11.68,2.16亿,24.75亿,12.84,134.84,1.88万手,0.06,0.27
0.70%,1.67亿,1.29%,6762手,4938手,2.22,997.72万,20.35亿,-58.22%,"
                        7.68",8.53,科新机电,8.47,3.87,8.58,8.51,2.38亿,14.31亿,9.38,301.40,1.17万手,0.02,0.21
--,3.60亿,--,--,--,2.53,--,94.95亿,--,"
                        15.38",17.09,金通灵,--,6.75,--,--,5.56亿,61.56亿,18.80,70.90,--,0.18,--
--,8.77亿,--,--,--,3.96,--,121.96亿,--,"
                        8.32",9.24,盛运环保,--,2.34,--,--,13.20亿,81.05亿,10.16,2458.82,--,0.00,--
2.07%,2.68亿,2.29%,2.48万手,3.05万手,4.14,5556.85万,43.61亿,-42.42%,"
                        9.05",10.05,文化长城,9.91,2.42,10.14,10.05,4.35亿,26.84亿,11.06,65.50,5.53万手,0.11,0.78
1.60%,22.57亿,1.47%,20.78万手,15.28万手,1.85,2.91亿,185.29亿,52.30%,"
                        7.33",8.15,长信科技,8.04,4.35,8.16,8.12,22.99亿,181.90亿,8.97,30.38,36.06万手,0.20,1.51
0.63%,3.45亿,2.97%,1.03万手,1.15万手,1.53,2317.72万,45.25亿,-36.76%,"
                        9.71",10.79,荃银高科,10.51,7.03,10.83,10.70,4.22亿,37.01亿,11.87,--,2.17万手,-0.07,0.50
--,4.37亿,--,--,--,4.09,--,48.60亿,--,"
                        9.72",10.80,康芝药业,--,2.64,--,--,4.50亿,47.22亿,11.88,88.42,--,0.09,--
2.64%,3.92亿,4.23%,5.58万手,4.77万手,1.89,1.43亿,96.67亿,-62.13%,"
                        12.14",13.49,银之杰,13.58,7.25,14.15,13.70,7.07亿,53.69亿,14.84,269.87,10.34万手,0.04,0.98
3.02%,3.07亿,1.47%,5.48万手,3.80万手,4.68,6846.75万,28.43亿,34.43%,"
                        6.75",7.50,海默科技,7.34,1.58,7.45,7.35,3.85亿,22.68亿,8.25,882.72,9.27万手,0.01,2.02
0.94%,11.89亿,1.16%,6.62万手,4.54万手,3.86,8635.75万,110.40亿,50.06%,"
                        6.99",7.77,劲胜智能,7.70,2.00,7.79,7.75,14.32亿,91.67亿,8.55,19.80,11.16万手,0.29,0.57
0.75%,6.74亿,2.88%,2.91万手,2.14万手,4.14,3541.87万,47.85亿,19.01%,"
                        6.25",6.94,奥克股份,6.90,1.70,7.10,6.94,6.81亿,47.38亿,7.63,22.72,5.05万手,0.23,0.32
1.84%,2.45亿,2.14%,2.28万手,2.23万手,4.15,4667.93万,54.93亿,-61.50%,"
                        9.26",10.29,恒信东方,10.22,2.49,10.44,10.30,5.31亿,25.39亿,11.32,52.36,4.51万手,0.15,0.66
0.86%,5.02亿,1.22%,2.59万手,1.72万手,5.82,2818.89万,32.98亿,-44.08%,"
                        5.90",6.56,易成新能,6.51,1.13,6.59,6.55,5.03亿,32.93亿,7.22,--,4.31万手,-0.60,0.45
0.74%,12.08亿,1.15%,4.96万手,4.00万手,2.59,3891.95万,59.93亿,-47.81%,"
                        3.91",4.34,数码科技,4.32,1.68,4.37,4.33,13.78亿,52.56亿,4.77,53.45,8.96万手,0.06,0.57
1.65%,4.94亿,2.01%,4.44万手,3.72万手,2.52,8896.35万,87.66亿,62.68%,"
                        9.83",10.92,思创医惠,10.81,4.31,11.03,10.88,8.08亿,53.59亿,12.01,60.68,8.15万手,0.13,2.58
4.13%,5.42亿,1.93%,11.48万手,10.92万手,5.42,2.32亿,58.54亿,-11.08%,"
                        9.32",10.35,国民技术,10.28,1.92,10.48,10.33,5.63亿,56.30亿,11.39,86.87,22.40万手,0.09,0.42
1.83%,2.72亿,1.73%,2.82万手,2.17万手,4.68,8372.97万,70.90亿,46.73%,"
                        15.07",16.74,数字政通,16.63,3.57,16.92,16.70,4.25亿,45.45亿,18.41,69.98,4.99万手,0.18,0.31
0.76%,3.96亿,1.59%,1.12万手,1.89万手,2.12,2460.98万,44.56亿,-44.63%,"
                        7.35",8.17,华平股份,8.14,3.87,8.27,8.25,5.43亿,32.49亿,8.99,213.31,3.00万手,0.03,0.31
2.40%,3.33亿,3.92%,4.58万手,3.43万手,4.30,2.08亿,94.12亿,37.97%,"
                        23.63",26.26,当升科技,25.51,5.98,26.54,26.20,3.66亿,85.72亿,28.89,38.50,8.01万手,0.50,1.60
1.44%,13.76亿,3.11%,8.92万手,10.84万手,4.57,7.43亿,683.23亿,-54.58%,"
                        33.26",36.95,三聚环保,36.90,8.28,38.05,37.01,18.08亿,519.86亿,40.65,25.69,19.76万手,1.10,1.59
--,4.42亿,--,--,--,1.91,--,52.92亿,--,"
                        7.02",7.80,华谊嘉信,--,4.08,--,--,6.78亿,34.47亿,8.58,29.37,--,0.20,--
0.97%,19.21亿,1.79%,10.65万手,8.05万手,5.19,3.34亿,556.54亿,28.52%,"
                        16.13",17.92,碧水源,17.74,3.42,18.06,17.95,31.34亿,341.17亿,19.71,56.32,18.70万手,0.24,1.71
1.61%,9169.93万,1.36%,1891手,1.29万手,4.51,5006.50万,39.48亿,-38.69%,"
                        30.54",33.93,金利华电,33.54,7.48,34.00,33.93,1.17亿,30.94亿,37.32,145.41,1.48万手,0.17,0.71
0.94%,5.85亿,1.12%,2.62万手,2.88万手,6.92,8839.52万,141.02亿,-50.90%,"
                        14.53",16.14,南都电源,16.00,2.34,16.18,16.14,8.72亿,94.62亿,17.75,28.86,5.50万手,0.42,0.79
2.07%,4.32亿,2.81%,4.43万手,4.52万手,1.67,5402.82万,44.27亿,-68.18%,"
                        5.45",6.05,安诺其,5.95,3.64,6.12,6.00,7.27亿,26.32亿,6.66,45.71,8.95万手,0.11,1.41
0.76%,9.49亿,2.48%,3.87万手,3.31万手,1.45,3458.71万,49.71亿,12.74%,"
                        4.36",4.84,三川智慧,4.77,3.30,4.89,4.89,10.40亿,45.36亿,5.32,58.60,7.18万手,0.06,0.24
1.89%,2.74亿,1.93%,2.03万手,3.14万手,3.31,9116.55万,64.06亿,-70.53%,"
                        15.85",17.61,海兰信,17.46,5.35,17.80,17.65,3.62亿,48.45亿,19.37,65.73,5.17万手,0.20,1.29
1.19%,6.06亿,1.69%,2.98万手,4.26万手,5.65,1.02亿,170.09亿,21.67%,"
                        12.78",14.20,豫金刚石,13.99,2.50,14.23,14.19,12.05亿,85.47亿,15.62,73.48,7.24万手,0.14,0.48
1.06%,4.10亿,0.89%,2.81万手,1.56万手,3.19,2433.71万,40.46亿,-6.14%,"
                        5.03",5.59,天龙集团,5.55,1.75,5.60,5.58,7.26亿,22.85亿,6.15,25.71,4.37万手,0.16,1.81
1.30%,1.89亿,1.84%,1.21万手,1.25万手,2.85,1745.73万,21.93亿,-16.63%,"
                        6.36",7.07,中能电气,7.02,2.50,7.15,7.05,3.08亿,13.48亿,7.78,145.83,2.46万手,0.04,0.57
0.91%,1.99亿,2.50%,1.33万手,4680手,6.43,2858.51万,83.03亿,83.15%,"
                        14.42",16.02,康旗股份,15.77,2.45,16.17,15.89,5.26亿,31.38亿,17.62,33.28,1.80万手,0.36,0.57
0.65%,15.70亿,1.57%,6.28万手,3.86万手,3.20,5832.46万,127.25亿,-4.85%,"
                        5.17",5.75,蓝色光标,5.71,1.79,5.80,5.74,22.13亿,90.26亿,6.33,34.20,10.14万手,0.13,0.56
0.22%,2.94亿,0.68%,2949手,3544手,5.40,662.70万,44.98亿,-70.06%,"
                        9.21",10.23,万顺股份,10.17,1.89,10.24,10.24,4.40亿,30.09亿,11.25,48.47,6493手,0.16,0.20
2.09%,2.70亿,5.41%,2.44万手,3.21万手,3.88,4250.26万,29.22亿,-17.38%,"
                        6.66",7.40,三维丝,7.31,1.95,7.71,7.44,3.85亿,20.50亿,8.14,--,5.65万手,-0.50,0.70
1.62%,8.65亿,2.59%,8.50万手,5.53万手,6.68,3.05亿,186.27亿,-66.73%,"
                        19.77",21.97,万邦达,21.50,3.23,22.07,21.97,8.65亿,186.27亿,24.17,47.21,14.03万手,0.34,1.78
2.02%,6.65亿,3.43%,7.01万手,6.45万手,3.61,1.61亿,113.59亿,46.25%,"
                        10.75",11.95,鼎龙股份,11.82,3.28,12.23,11.85,9.61亿,78.60亿,13.15,37.49,13.46万手,0.24,4.96
2.67%,4.64亿,2.71%,7.67万手,4.71万手,3.27,1.81亿,90.92亿,-41.96%,"
                        13.30",14.78,欧比特,14.51,4.46,14.91,14.78,6.23亿,67.72亿,16.26,75.08,12.37万手,0.15,0.98
2.43%,2.60亿,2.70%,3.72万手,2.61万手,2.75,9093.33万,37.20亿,34.52%,"
                        12.99",14.43,中青宝,14.21,5.17,14.60,14.31,2.61亿,37.08亿,15.87,147.81,6.33万手,0.07,0.99
